,filename,xmin,xmax,ymin,ymax
0,armas (1).jpg,3,128,1,100
1,armas (1).jpg,123,238,47,145
2,armas (2).jpg,21,146,78,163
3,armas (2).jpg,84,221,31,111
4,armas (3).jpg,471,613,207,359
5,armas (4).jpg,30,171,157,246
6,armas (5).jpg,358,647,184,604
7,armas (5).jpg,621,817,10,361
8,armas (6).jpg,274,949,203,616
9,armas (7).jpg,738,1098,590,1066
10,armas (8).jpg,586,860,359,553
11,armas (9).jpg,147,327,183,475
12,armas (10).jpg,409,697,95,352
13,armas (11).jpg,251,417,414,658
14,armas (11).jpg,269,491,38,202
15,armas (12).jpg,27,84,169,242
16,armas (13).jpg,202,793,265,697
17,armas (14).jpg,71,91,56,111
18,armas (15).jpg,179,1084,135,815
19,armas (16).jpg,260,270,21,61
20,armas (17).jpg,858,1125,356,635
21,armas (18).jpg,134,164,163,244
22,armas (19).jpg,268,355,171,334
23,armas (20).jpg,754,1069,338,598
24,armas (21).jpg,160,190,110,175
25,armas (22).jpg,38,56,68,105
26,armas (23).jpg,301,1090,54,448
27,armas (24).jpg,290,634,74,283
28,armas (25).jpg,243,293,81,112
29,armas (26).jpg,38,156,10,240
30,armas (27).jpg,42,168,382,660
31,armas (27).jpg,708,820,412,684
32,armas (28).jpg,169,992,180,744
33,armas (29).jpg,90,230,270,364
34,armas (30).jpg,110,232,386,528
35,armas (31).jpg,722,1201,302,840
36,armas (32).jpg,88,260,404,512
37,armas (33).jpg,160,738,330,1238
38,armas (34).jpg,255,547,341,538
39,armas (35).jpg,562,725,345,718
40,armas (36).jpg,312,372,106,217
41,armas (37).jpg,180,293,110,234
42,armas (38).jpg,9,69,25,103
43,armas (38).jpg,95,160,27,101
44,armas (39).jpg,73,105,24,99
45,armas (40).jpg,132,145,26,55
46,armas (41).jpg,1126,1287,247,458
47,armas (42).jpg,160,321,99,193
48,armas (43).jpg,1,84,60,217
49,armas (44).jpg,847,1088,389,757
50,armas (45).jpg,605,1190,180,772
51,armas (46).jpg,181,449,62,331
52,armas (47).jpg,303,803,124,853
53,armas (48).jpg,158,391,21,189
54,armas (49).jpg,645,1158,143,830
55,armas (50).jpg,70,210,156,357
56,armas (51).jpg,758,1164,253,610
57,armas (52).jpg,65,182,171,228
58,armas (52).jpg,264,379,164,239
59,armas (53).jpg,25,113,56,111
60,armas (54).jpg,569,681,587,709
61,armas (55).jpg,315,370,139,224
62,armas (56).jpg,1689,1972,914,1011
63,armas (56).jpg,1720,2024,1011,1121
64,armas (56).jpg,1803,2172,1114,1252
65,armas (56).jpg,2024,2238,924,1007
66,armas (56).jpg,2089,2310,1004,1093
67,armas (57).jpg,172,424,35,325
68,armas (58).jpg,84,649,92,488
69,armas (59).jpg,26,241,22,171
70,armas (60).jpg,185,598,100,301
71,armas (61).jpg,492,900,51,569
72,armas (62).jpg,107,756,593,870
73,armas (62).jpg,774,1160,589,868
74,armas (62).jpg,166,637,187,470
75,armas (62).jpg,696,1127,180,499
76,armas (63).jpg,700,919,294,623
77,armas (64).jpg,17,382,505,1029
78,armas (65).jpg,62,1280,16,713
79,armas (66).jpg,8,282,2,170
80,armas (67).jpg,319,356,212,275
81,armas (68).jpg,100,125,73,100
82,armas (69).jpg,76,93,62,86
83,armas (70).jpg,101,124,35,55
84,armas (71).jpg,304,596,169,362
85,armas (72).jpg,40,68,47,115
86,armas (73).jpg,145,620,208,1057
87,armas (74).jpg,358,385,111,131
88,armas (75).jpg,198,541,266,845
89,armas (76).jpg,148,573,6,238
90,armas (77).jpg,57,1268,290,1157
91,armas (78).jpg,36,157,112,276
92,armas (79).jpg,25,45,63,99
93,armas (80).jpg,63,102,77,121
94,armas (81).jpg,25,50,72,124
95,armas (82).jpg,147,358,438,846
96,armas (83).jpg,32,73,74,134
97,armas (84).jpg,205,266,104,166
98,armas (84).jpg,277,348,98,167
99,armas (85).jpg,74,319,99,387
100,armas (86).jpg,327,432,90,176
101,armas (87).jpg,839,1052,78,515
102,armas (88).jpg,65,102,27,97
103,armas (89).jpg,32,56,24,80
104,armas (90).jpg,2,233,6,179
105,armas (91).jpg,69,76,13,60
106,armas (92).jpg,29,35,17,49
107,armas (93).jpg,331,384,254,379
108,armas (93).jpg,600,686,275,463
109,armas (93).jpg,866,923,277,520
110,armas (94).jpg,198,234,259,362
111,armas (95).jpg,19,594,191,503
112,armas (96).jpg,22,420,37,290
113,armas (97).jpg,150,329,42,124
114,armas (98).jpg,77,103,47,81
115,armas (99).jpg,930,1403,393,909
116,armas (100).jpg,184,283,148,229
117,armas (101).jpg,141,341,195,447
118,armas (102).jpg,288,700,126,364
119,armas (103).jpg,111,199,83,129
120,armas (104).jpg,94,171,107,173
121,armas (105).jpg,180,680,550,935
122,armas (106).jpg,441,580,190,388
123,armas (107).jpg,43,75,52,130
124,armas (108).jpg,819,1033,167,486
125,armas (109).jpg,9,194,222,518
126,armas (110).jpg,239,1027,51,667
127,armas (111).jpg,130,369,38,238
128,armas (112).jpg,370,1052,110,689
129,armas (113).jpg,508,626,344,698
130,armas (114).jpg,59,71,50,75
131,armas (115).jpg,169,224,393,529
132,armas (116).jpg,923,1207,526,738
133,armas (117).jpg,24,52,71,96
134,armas (118).jpg,113,459,234,510
135,armas (119).jpg,104,1150,395,726
136,armas (120).jpg,77,112,163,285
137,armas (121).jpg,447,559,158,221
138,armas (122).jpg,51,501,500,735
139,armas (123).jpg,483,578,162,407
140,armas (123).jpg,1071,1166,162,407
141,armas (124).jpg,205,1040,281,860
142,armas (125).jpg,70,1238,121,840
143,armas (126).jpg,1,298,1,271
144,armas (127).jpg,143,191,68,107
